input_a,input_b
"[[0.456, 0.078], [0.321, 0.03]]","[[0.491, 0.754], [0.017, 0.016]]"
"[[0.638, 0.93], [0.105, 0.608]]","[[0.068, 0.948], [0.562, 0.619]]"
"[[0.643, 0.182], [0.381, 0.494]]","[[0.199, 0.158], [0.719, 0.59]]"
"[[0.265, 0.189], [0.822, 0.204]]","[[0.214, 0.099], [0.326, 0.56]]"
"[[0.211, 0.978], [0.241, 0.052]]","[[0.352, 0.297], [0.489, 0.74]]"
"[[0.813, 0.454], [0.175, 0.801]]","[[0.091, 0.821], [0.299, 0.867]]"
"[[0.811, 0.089], [0.617, 0.246]]","[[0.586, 0.905], [0.335, 0.005]]"
"[[0.878, 0.253], [0.299, 0.886]]","[[0.824, 0.543], [0.314, 0.536]]"
"[[0.411, 0.311], [0.569, 0.693]]","[[0.808, 0.763], [0.149, 0.693]]"
"[[0.976, 0.337], [0.795, 0.471]]","[[0.501, 0.096], [0.147, 0.158]]"
"[[0.138, 0.631], [0.831, 0.389]]","[[0.422, 0.595], [0.701, 0.386]]"
"[[0.729, 0.054], [0.503, 0.517]]","[[0.782, 0.662], [0.159, 0.716]]"
"[[0.411, 0.84], [0.142, 0.276]]","[[0.692, 0.105], [0.92, 0.212]]"
"[[0.896, 0.309], [0.824, 0.245]]","[[0.371, 0.086], [0.503, 0.398]]"
"[[0.243, 0.834], [0.325, 0.426]]","[[0.458, 0.177], [0.739, 0.741]]"
"[[0.748, 0.194], [0.881, 0.61]]","[[0.86, 0.275], [0.91, 0.901]]"
"[[0.754, 0.582], [0.608, 0.57]]","[[0.781, 0.738], [0.519, 0.532]]"
"[[0.889, 0.044], [0.363, 0.212]]","[[0.414, 0.377], [0.18, 0.526]]"
"[[0.916, 0.057], [0.071, 0.259]]","[[0.567, 0.646], [0.638, 0.732]]"
"[[0.201, 0.561], [0.513, 0.32]]","[[0.084, 0.665], [0.743, 0.983]]"
"[[0.924, 0.215], [0.364, 0.669]]","[[0.674, 0.699], [0.343, 0.835]]"
"[[0.878, 0.784], [0.023, 0.883]]","[[0.021, 0.756], [0.191, 0.058]]"
"[[0.445, 0.968], [0.95, 0.172]]","[[0.235, 0.348], [0.035, 0.759]]"
"[[0.092, 0.804], [0.878, 0.004]]","[[0.727, 0.906], [0.746, 0.602]]"
"[[0.251, 0.982], [0.455, 0.297]]","[[0.995, 0.982], [0.629, 0.458]]"
"[[0.32, 0.758], [0.282, 0.173]]","[[0.291, 0.905], [0.348, 0.631]]"
"[[0.377, 0.278], [0.376, 0.011]]","[[0.21, 0.56], [0.828, 0.612]]"
"[[0.201, 0.652], [0.816, 0.204]]","[[0.043, 0.032], [0.91, 0.788]]"
"[[0.251, 0.013], [0.687, 0.4]]","[[0.087, 0.205], [0.444, 0.264]]"
"[[0.128, 0.923], [0.574, 0.597]]","[[0.99, 0.646], [0.498, 0.305]]"
"[[0.448, 0.22], [0.244, 0.677]]","[[0.999, 0.428], [0.157, 0.137]]"
"[[0.71, 0.826], [0.728, 0.98]]","[[0.412, 0.318], [0.675, 0.849]]"
"[[0.103, 0.125], [0.053, 0.588]]","[[0.171, 0.811], [0.446, 0.498]]"
"[[0.046, 0.932], [0.942, 0.969]]","[[0.259, 0.677], [0.629, 0.597]]"
"[[0.884, 0.139], [0.938, 0.364]]","[[0.895, 0.617], [0.968, 0.594]]"
"[[0.162, 0.513], [0.779, 0.28]]","[[0.569, 0.922], [0.168, 0.267]]"
"[[0.536, 0.748], [0.05, 0.369]]","[[0.905, 0.997], [0.926, 0.48]]"
"[[0.027, 0.333], [0.921, 0.484]]","[[0.92, 0.366], [0.154, 0.522]]"
"[[0.29, 0.379], [0.139, 0.326]]","[[0.24, 0.084], [0.178, 0.18]]"
"[[0.037, 0.552], [0.514, 0.12]]","[[0.481, 0.204], [0.383, 0.685]]"
